countryid,broadband,lifeexpecttotal,enrollmenttertiary,co2em,primarycompletefem,unemployment,gdpcap,gdpcappredict,dataset
4,26,79,39,6,74,40,3,24,1
8,23,75,33,6,58,64,2,23,1
14,0,62,1,0,18,5,0,14,1
17,0,62,3,1,24,16,0,11,1
24,13,75,15,5,72,23,3,20,1
29,22,76,20,51,70,24,16,51,1
34,81,84,41,14,64,15,45,77,1
36,31,80,62,14,65,25,8,31,1
38,1,58,5,1,33,11,1,2,1
42,24,77,36,5,77,35,3,21,1
45,31,80,38,5,71,40,7,31,1
56,14,77,34,11,70,37,2,20,1
57,21,77,31,7,70,13,3,25,1
63,56,82,62,25,69,23,26,54,1
68,2,66,12,7,41,73,4,10,1
70,41,74,42,8,60,40,2,31,2
84,7,75,15,3,42,20,1,27,2
90,2,70,18,5,58,18,1,9,2
91,52,82,50,23,71,17,43,55,2
95,50,83,39,21,71,13,23,58,2
98,8,75,21,8,42,59,2,25,2
100,23,73,40,37,77,17,5,30,2
102,7,72,27,5,78,24,1,4,2
103,2,70,8,2,60,0,1,11,2
108,2,68,8,8,57,3,1,13,2
114,14,77,12,3,66,15,2,26,2
118,46,75,63,12,66,22,9,30,2
121,8,77,24,6,65,32,2,19,2
123,29,72,37,10,67,18,2,22,2
126,26,75,27,11,72,12,5,28,2
132,49,77,35,12,64,53,5,44,3
133,17,70,45,21,76,19,2,10,3
136,0,65,2,3,40,36,1,10,3
139,16,76,27,23,70,11,6,30,3
152,2,67,6,3,23,12,1,22,3
166,39,73,57,34,74,16,6,33,3
167,0,69,2,0,73,4,0,5,3
168,3,70,15,5,55,17,1,11,3
172,45,83,61,26,65,11,35,53,3
178,41,76,44,20,66,36,4,38,3
183,52,81,51,21,66,15,14,53,3
191,1,61,7,1,47,13,0,0,3
199,29,78,77,15,54,48,5,23,3
205,60,79,58,47,72,13,34,63,3
216,4,64,14,23,58,100,3,7,3
